Team,Gold,Silver,Bronze,Total,Rank by total
China,38,31,18,87,2
USA,36,39,33,108,1
Japan,27,12,17,56,5
Russia,20,26,23,69,3
Britain,20,21,22,63,4
Australia,17,7,22,46,6
Germany,10,11,16,37,8
Netherlands,10,11,12,33,9
Italy,10,10,19,39,7
France,9,12,11,32,10
New Zealand,7,6,7,20,12
Brazil,7,4,8,19,14
Hungary,6,7,6,19,14
Canada,6,6,11,23,11
Republic of Korea,6,4,10,20,12
Cuba,6,3,5,14,18
Poland,4,5,5,14,18
Czech Republic,4,4,3,11,23
Norway,4,2,1,7,31
Jamaica,4,1,4,9,25
Spain,3,8,6,17,17
Sweden,3,6,0,9,25
Switzerland,3,4,6,13,20
Denmark,3,4,4,11,23
Kenya,3,4,2,9,25
Croatia,3,3,2,8,28
Islamic Republic of Iran,3,2,2,7,31
Belgium,3,1,2,6,38
Slovenia,3,1,1,5,40
Georgia,2,5,1,8,28
Chinese Taipei,2,4,6,12,22
Turkey,2,2,9,13,20
Serbia,2,1,4,7,31
Bulgaria,2,1,2,5,40
Uganda,2,1,1,4,46
Ecuador,2,1,0,3,58
Israel,2,0,2,4,46
Uzbekistan,2,0,2,4,46
Greece,2,0,1,3,58
Qatar,2,0,1,3,58
Bahamas,2,0,0,2,66
Kosovo,2,0,0,2,66
Ukraine,1,5,12,18,16
Belarus,1,3,3,7,31
Romania,1,3,0,4,46
Venezuela,1,3,0,4,46
India,1,2,4,7,31
Hong Kong,1,2,2,5,40
Philippines,1,2,1,4,46
Slovakia,1,2,1,4,46
South Africa,1,2,0,3,58
Austria,1,1,5,7,31
Egypt,1,1,4,6,38
Indonesia,1,1,3,5,40
Ethiopia,1,1,2,4,46
Portugal,1,1,2,4,46
Tunisia,1,1,0,2,66
Ireland,1,0,2,3,58
Estonia,1,0,1,2,66
Fiji,1,0,1,2,66
Latvia,1,0,1,2,66
Thailand,1,0,1,2,66
Bermuda,1,0,0,1,76
Morocco,1,0,0,1,76
Puerto Rico,1,0,0,1,76
Colombia,0,4,1,5,40
Azerbaijan,0,3,4,7,31
Dominican Republic,0,3,2,5,40
Armenia,0,2,2,4,46
Kyrgyzstan,0,2,1,3,58
Mongolia,0,1,3,4,46
Argentina,0,1,2,3,58
San Marino,0,1,2,3,58
Jordan,0,1,1,2,66
Nigeria,0,1,1,2,66
Bahrain,0,1,0,1,76
Saudi Arabia,0,1,0,1,76
Lithuania,0,1,0,1,76
North Macedonia,0,1,0,1,76
Namibia,0,1,0,1,76
Turkmenistan,0,1,0,1,76
Kazakhstan,0,0,8,8,28
Mexico,0,0,4,4,46
Finland,0,0,2,2,66
Botswana,0,0,1,1,76
Burkina Faso,0,0,1,1,76
Côte d'Ivoire,0,0,1,1,76
Ghana,0,0,1,1,76
Grenada,0,0,1,1,76
Kuwait,0,0,1,1,76
Malaysia,0,0,1,1,76
Republic of Moldova,0,0,1,1,76
Syrian Arab Republic,0,0,1,1,76
